nct_id,indication,line_of_therapy
NCT03712202,"Hodgkin Lymphoma",1L
NCT03715478,"Multiple Myeloma",">= 2PL"
NCT03719105,"Enteropathy-Associated T-cell Lymphoma",1L
NCT03719105,"NK-cell lymphoma",1L
NCT03719105,"Peripheral T-cell Lymphoma",1L
NCT03719105,"T-cell lymphoma",1L
NCT03725761,"Prostate Cancer",2L
NCT03726879,"Breast Cancer",Adjuvant
NCT03726879,"Breast Cancer",Neoadjuvant
NCT03732703,"Multiple Myeloma",1-3PL
NCT03734029,"Breast Cancer",2L
NCT03734029,"Breast Cancer",3L
NCT03737955,"Acute Myeloid Leukemia",2L
NCT03737955,"Myelodysplastic Syndrome",1L
NCT03737955,"Myelodysplastic Syndrome",2L
NCT03742102,"Breast Cancer",1L
NCT03742102,"Triple-Negative Breast Cancer",1L
NCT03748186,"Endometrial Cancer",2L
NCT03748186,"Endometrial Cancer",3L
NCT03748186,"Endometrial Cancer",4L
NCT03748186,"Fallopian tube Cancer",2L
NCT03748186,"Fallopian tube Cancer",3L
NCT03748186,"Fallopian tube Cancer",4L
NCT03748186,"Ovarian Cancer",2L
NCT03748186,"Ovarian Cancer",3L
NCT03748186,"Ovarian Cancer",4L
NCT03748186,"Peritoneal Cancer",2L
NCT03748186,"Peritoneal Cancer",3L
NCT03748186,"Peritoneal Cancer",4L
NCT03755141,"Breast Cancer",2L
NCT03755804,"Classical Hodgkin Lymphoma",1L
NCT03755804,"Hodgkin Lymphoma",1L
NCT03769506,"Head and Neck Cancer",2L
NCT03786081,"Cervical Cancer",2L
NCT03805932,"Hairy Cell Leukemia",2L
NCT03809013,"Bladder Cancer",2L
NCT03809624,"Bladder Cancer",1L
NCT03809624,"Bladder Cancer",2L
NCT03809624,"Esophageal Cancer",1L
NCT03809624,"Esophageal Cancer",2L
NCT03809624,"Gastric Cancer",1L
NCT03809624,"Gastric Cancer",2L
NCT03809624,"Gastroesophageal Junction",1L
NCT03809624,"Gastroesophageal Junction",2L
NCT03809624,"Genitourinary Cancer",1L
NCT03809624,"Genitourinary Cancer",2L
NCT03809624,"Head and Neck Cancer",1L
NCT03809624,"Head and Neck Cancer",2L
NCT03809624,"Lung Cancer",1L
NCT03809624,"Lung Cancer",2L
NCT03809624,Melanoma,1L
NCT03809624,Melanoma,2L
NCT03809624,"Nasopharyngeal Carcinoma",1L
NCT03809624,"Nasopharyngeal Carcinoma",2L
NCT03809624,"Non-small Cell Lung Cancer",1L
NCT03809624,"Non-small Cell Lung Cancer",2L
NCT03809624,"Renal Cell Carcinoma",1L
NCT03809624,"Renal Cell Carcinoma",2L
NCT03809624,"Solid Tumors",1L
NCT03809624,"Solid Tumors",2L
NCT03816358,"Pancreatic Cancer",2L
NCT03816358,"Pancreatic Cancer",3L
NCT03820063,"Breast Cancer",Neoadjuvant
NCT03828292,"Multiple Myeloma",">= 2PL"
NCT03829540,"Acute Lymphocytic Leukemia",2L
NCT03829540,"Blastic Plasmacytoid Dendritic Cell Neoplasm",2L
NCT03829540,"Cutaneous T-cell Lymphoma",2L
NCT03829540,"Hematological Malignancies",2L
NCT03829540,"Peripheral T-cell Lymphoma",2L
NCT03829540,"T-cell Acute Lymphocytic Leukemia",2L
NCT03829540,"T-cell lymphoma",2L
NCT03829540,"T-cell Prolymphocytic Leukemia",2L
NCT03832361,"Endometrial Cancer",2L
NCT03833180,"Acute Lymphocytic Leukemia",2L
NCT03833180,"Acute Myeloid Leukemia",2L
NCT03833180,"Burkitt Lymphoma",2L
NCT03833180,"Chronic Lymphocytic Leukemia",2L
NCT03833180,"Diffuse Large B-cell Lymphoma",2L
NCT03833180,"Follicular Lymphoma",2L
NCT03833180,"Hematological Malignancies",2L
NCT03833180,"Mantle Cell Lymphoma",2L
NCT03833180,"Marginal Zone Lymphoma",2L
NCT03833180,"Non-Hodgkin Lymphoma",2L
NCT03833180,"Small Lymphocytic Lymphoma",2L
NCT03833180,"Waldenstrom Macroglobulinemia",2L
NCT03835819,"Endometrial Cancer",2L
NCT03835819,"Endometrial Cancer",3L
NCT03848845,"Multiple Myeloma",">= 3PL"
NCT03856216,"Acute Lymphocytic Leukemia",1L
NCT03856216,"B-cell Acute Lymphocytic Leukemia",1L
NCT03859752,"Solid Tumors",2L
NCT03869190,"Bladder Cancer",2L
NCT03878524,"Acute Lymphocytic Leukemia",2L
NCT03878524,"Acute Lymphocytic Leukemia",3L
NCT03878524,"Acute Lymphocytic Leukemia",4L
NCT03878524,"Acute Lymphocytic Leukemia",5L
NCT03878524,"Acute Myeloid Leukemia",2L
NCT03878524,"Acute Myeloid Leukemia",3L
NCT03878524,"Acute Myeloid Leukemia",4L
NCT03878524,"Acute Myeloid Leukemia",5L
NCT03878524,"Breast Cancer",1L
NCT03878524,"Breast Cancer",2L
NCT03878524,"Breast Cancer",3L
NCT03878524,"Breast Cancer",4L
NCT03878524,"Breast Cancer",5L
NCT03878524,"Chronic Lymphocytic Leukemia",2L
NCT03878524,"Chronic Lymphocytic Leukemia",3L
NCT03878524,"Chronic Lymphocytic Leukemia",4L
NCT03878524,"Chronic Lymphocytic Leukemia",5L
NCT03878524,"Chronic Myeloid Leukemia",2L
NCT03878524,"Chronic Myeloid Leukemia",3L
NCT03878524,"Chronic Myeloid Leukemia",4L
NCT03878524,"Chronic Myeloid Leukemia",5L
NCT03878524,"Chronic Myelomonocytic Leukemia",2L
NCT03878524,"Chronic Myelomonocytic Leukemia",3L
NCT03878524,"Chronic Myelomonocytic Leukemia",4L
NCT03878524,"Chronic Myelomonocytic Leukemia",5L
NCT03878524,"Hematological Malignancies",1L
NCT03878524,"Hematological Malignancies",2L
NCT03878524,"Hematological Malignancies",3L
NCT03878524,"Hematological Malignancies",4L
NCT03878524,"Hematological Malignancies",5L
NCT03878524,"Hodgkin Lymphoma",1L
NCT03878524,"Hodgkin Lymphoma",2L
NCT03878524,"Hodgkin Lymphoma",3L
NCT03878524,"Hodgkin Lymphoma",4L
NCT03878524,"Hodgkin Lymphoma",5L
NCT03878524,"Multiple Myeloma",">= 1PL"
NCT03878524,"Multiple Myeloma",">= 3PL"
NCT03878524,"Multiple Myeloma",">= 4PL"
NCT03878524,"Multiple Myeloma","Newly Diagnosed"
NCT03878524,"Myelodysplastic Syndrome",2L
NCT03878524,"Myelodysplastic Syndrome",3L
NCT03878524,"Myelodysplastic Syndrome",4L
NCT03878524,"Myelodysplastic Syndrome",5L
NCT03878524,Myelofibrosis,2L
NCT03878524,Myelofibrosis,3L
NCT03878524,Myelofibrosis,4L
NCT03878524,Myelofibrosis,5L
NCT03878524,"Myeloproliferative Neoplasm",1L
NCT03878524,"Myeloproliferative Neoplasm",2L
NCT03878524,"Myeloproliferative Neoplasm",3L
NCT03878524,"Myeloproliferative Neoplasm",4L
NCT03878524,"Myeloproliferative Neoplasm",5L
NCT03878524,"Non-Hodgkin Lymphoma",2L
NCT03878524,"Non-Hodgkin Lymphoma",3L
NCT03878524,"Non-Hodgkin Lymphoma",4L
NCT03878524,"Non-Hodgkin Lymphoma",5L
NCT03878524,"Pancreatic Cancer",1L
NCT03878524,"Pancreatic Cancer",2L
NCT03878524,"Pancreatic Cancer",3L
NCT03878524,"Pancreatic Cancer",4L
NCT03878524,"Pancreatic Cancer",5L
NCT03878524,"Prostate Cancer",2L
NCT03878524,"Small Lymphocytic Lymphoma",1L
NCT03878524,"Small Lymphocytic Lymphoma",2L
NCT03878524,"Small Lymphocytic Lymphoma",3L
NCT03878524,"Small Lymphocytic Lymphoma",4L
NCT03878524,"Small Lymphocytic Lymphoma",5L
NCT03878524,"Solid Tumors",1L
NCT03878524,"Solid Tumors",2L
NCT03878524,"Solid Tumors",3L
NCT03878524,"Solid Tumors",4L
NCT03878524,"Solid Tumors",5L
NCT03894150,"Anaplastic Large Cell Lymphoma",2L
NCT03894150,"Hematological Malignancies",2L
NCT03900949,"Acute Myeloid Leukemia",1L
NCT03901339,"Breast Cancer",3L
NCT03901339,"Breast Cancer",4L
NCT03907488,"Classical Hodgkin Lymphoma",1L
NCT03907488,"Hodgkin Lymphoma",1L
NCT03913559,"Acute Lymphocytic Leukemia",2L
NCT03913559,"Acute Lymphocytic Leukemia",3L
NCT03913559,"B-cell Acute Lymphocytic Leukemia",2L
NCT03913559,"B-cell Acute Lymphocytic Leukemia",3L
NCT03924895,"Bladder Cancer",2L
NCT03924895,"Bladder Cancer",Adjuvant
NCT03924895,"Bladder Cancer",Neoadjuvant
NCT03944499,"Breast Cancer",1L
NCT03944499,"Breast Cancer",2L
NCT03944499,"Breast Cancer",3L
NCT03944499,"Breast Cancer",4L
NCT03944499,"Solid Tumors",1L
NCT03944499,"Solid Tumors",2L
NCT03944499,"Solid Tumors",3L
NCT03944499,"Solid Tumors",4L
NCT03944772,"Non-small Cell Lung Cancer",2L
NCT03944772,"Small Cell Lung Cancer",2L
NCT03959085,"Acute Lymphocytic Leukemia",1L
NCT03959085,"Acute Lymphocytic Leukemia",2L
NCT03959085,"B-cell Acute Lymphocytic Leukemia",1L
NCT03959085,"B-cell Acute Lymphocytic Leukemia",2L
NCT03959085,"Central Nervous System Lymphoma",1L
NCT03959085,"Central Nervous System Lymphoma",2L
NCT03959085,"Lymphoblastic Lymphoma",1L
NCT03959085,"Lymphoblastic Lymphoma",2L
NCT03962465,"Acute Lymphocytic Leukemia",1L
NCT03962465,"B-cell Acute Lymphocytic Leukemia",1L
NCT03962465,"Lymphoblastic Lymphoma",1L
NCT03964727,"Endometrial Cancer",2L
NCT03964727,"Head and Neck Cancer",2L
NCT03964727,"Head and Neck Cancer",3L
NCT03964727,"Non-small Cell Lung Cancer",2L
NCT03964727,"Non-small Cell Lung Cancer",3L
NCT03964727,"Small Cell Lung Cancer",1L
NCT03964727,"Small Cell Lung Cancer",2L
NCT03964727,"Solid Tumors",3L
NCT03971409,"Breast Cancer",2L
NCT03971409,"Breast Cancer",3L
NCT03971409,"Triple-Negative Breast Cancer",2L
NCT03971409,"Triple-Negative Breast Cancer",3L
NCT03975647,"Breast Cancer",1L
NCT03975647,"Breast Cancer",2L
NCT03975647,"Breast Cancer",3L
NCT03995706,"Breast Cancer",2L
NCT03995706,Glioblastoma,2L
NCT04014075,"Gastric Cancer",2L
NCT04014075,"Gastric Cancer",3L
NCT04014075,"Gastric Cancer",4L
NCT04014075,"Gastroesophageal Junction",2L
NCT04014075,"Gastroesophageal Junction",3L
NCT04014075,"Gastroesophageal Junction",4L
NCT04015778,"Lung Cancer",1L
NCT04015778,"Non-small Cell Lung Cancer",Adjuvant
NCT04015778,"Non-small Cell Lung Cancer",Neoadjuvant
NCT04032704,"Esophageal Cancer",2L
NCT04032704,"Gastric Cancer",1L
NCT04032704,"Gastroesophageal Junction",1L
NCT04032704,"Head and Neck Cancer",2L
NCT04032704,Melanoma,1L
NCT04032704,"Non-small Cell Lung Cancer",2L
NCT04032704,"Prostate Cancer",1L
NCT04032704,"Prostate Cancer",2L
NCT04032704,"Small Cell Lung Cancer",2L
NCT04032704,"Solid Tumors",1L
NCT04036461,"Multiple Myeloma",">= 1PL"
NCT04039230,"Breast Cancer",1L
NCT04039230,"Breast Cancer",2L
NCT04042701,"Breast Cancer",2L
NCT04042701,"Breast Cancer",3L
NCT04042701,"Lung Cancer",2L
NCT04042701,"Lung Cancer",3L
NCT04042701,"Non-small Cell Lung Cancer",2L
NCT04042701,"Non-small Cell Lung Cancer",3L
NCT04050280,"Acute Myeloid Leukemia",2L
NCT04064359,"Solid Tumors",2L
NCT04070768,"Acute Myeloid Leukemia",2L
NCT04073602,"Bladder Cancer",1L
NCT04073602,"Bladder Cancer",2L
NCT04077723,"B-cell Lymphoma",3L
NCT04077723,"B-cell Lymphoma",4L
NCT04077723,"B-cell Lymphoma",5L
NCT04077723,"Diffuse Large B-cell Lymphoma",3L
NCT04077723,"Diffuse Large B-cell Lymphoma",4L
NCT04077723,"Diffuse Large B-cell Lymphoma",5L
NCT04077723,"Follicular Lymphoma",3L
NCT04077723,"Follicular Lymphoma",4L
NCT04077723,"Follicular Lymphoma",5L
NCT04077723,"Hematological Malignancies",3L
NCT04077723,"Hematological Malignancies",4L
NCT04077723,"Hematological Malignancies",5L
NCT04077723,"Mantle Cell Lymphoma",3L
NCT04077723,"Mantle Cell Lymphoma",4L
NCT04077723,"Mantle Cell Lymphoma",5L
NCT04077723,"Non-Hodgkin Lymphoma",3L
NCT04077723,"Non-Hodgkin Lymphoma",4L
NCT04077723,"Non-Hodgkin Lymphoma",5L
NCT04084366,"Colorectal Cancer",1L
NCT04084366,"Colorectal Cancer",2L
NCT04084366,"Esophageal Cancer",1L
NCT04084366,"Esophageal Cancer",2L
NCT04084366,"Gastric Cancer",1L
NCT04084366,"Gastric Cancer",2L
NCT04084366,"Pancreatic Cancer",1L
NCT04084366,"Pancreatic Cancer",2L
NCT04084366,"Solid Tumors",1L
NCT04084366,"Solid Tumors",2L
NCT04086264,"Acute Myeloid Leukemia",1L
NCT04086264,"Acute Myeloid Leukemia",3L
NCT04091126,"Multiple Myeloma","NDMM – Transplant Ineligible (TIE)"
NCT04091126,"Multiple Myeloma","NDMM – Transplant Not Intended (TNI)"
NCT04091126,"Multiple Myeloma","Newly Diagnosed"
NCT04126200,"Multiple Myeloma",">= 3PL"
NCT04132960,"Breast Cancer",2L
NCT04145622,"Bladder Cancer",1L
NCT04145622,"Bladder Cancer",2L
NCT04145622,"Breast Cancer",1L
NCT04145622,"Breast Cancer",2L
NCT04145622,"Esophageal Cancer",1L
NCT04145622,"Esophageal Cancer",2L
NCT04145622,Melanoma,1L
NCT04145622,Melanoma,2L
NCT04145622,"Non-small Cell Lung Cancer",1L
NCT04145622,"Non-small Cell Lung Cancer",2L
NCT04145622,"Prostate Cancer",1L
NCT04145622,"Prostate Cancer",2L
NCT04145622,"Small Cell Lung Cancer",1L
NCT04145622,"Small Cell Lung Cancer",2L
NCT04145622,"Solid Tumors",1L
NCT04145622,"Solid Tumors",2L
NCT04146610,"Solid Tumors",1L
NCT04146610,"Solid Tumors",2L
NCT04151329,"Solid Tumors",1L
NCT04151329,"Solid Tumors",2L
NCT04152499,"Bladder Cancer",2L
NCT04152499,"Bladder Cancer",3L
NCT04152499,"Bladder Cancer",4L
NCT04152499,"Breast Cancer",2L
NCT04152499,"Endometrial Cancer",2L
NCT04152499,"Gastric Cancer",2L
NCT04152499,"Gastric Cancer",3L
NCT04152499,"Gastric Cancer",4L
NCT04152499,"Head and Neck Cancer",2L
NCT04152499,"Non-small Cell Lung Cancer",2L
NCT04152499,"Ovarian Cancer",2L
NCT04152499,"Ovarian Cancer",3L
NCT04152499,"Ovarian Cancer",4L
NCT04152499,"Pancreatic Cancer",2L
NCT04152499,"Pancreatic Cancer",3L
NCT04152499,"Pancreatic Cancer",4L
NCT04152499,"Small Cell Lung Cancer",2L
NCT04152499,"Solid Tumors",2L
NCT04152499,"Solid Tumors",3L
NCT04152499,"Solid Tumors",4L
NCT04152499,"Triple-Negative Breast Cancer",2L
NCT04152499,"Triple-Negative Breast Cancer",3L
NCT04152499,"Triple-Negative Breast Cancer",4L
NCT04154956,"Lung Cancer",2L
NCT04154956,"Lung Cancer",3L
NCT04154956,"Non-small Cell Lung Cancer",2L
NCT04154956,"Non-small Cell Lung Cancer",3L
NCT04158947,"Breast Cancer",2L
NCT04162210,"Multiple Myeloma",">= 2PL"
NCT04168502,"Acute Myeloid Leukemia",Maintenance
NCT04168502,"Acute Promyelocytic Leukemia",Maintenance
NCT04168502,"Myelodysplastic Syndrome",Maintenance
NCT04175847,"Gastric Cancer",1L
NCT04175847,"Gastric Cancer",2L
NCT04175847,Mesothelioma,1L
NCT04175847,Mesothelioma,2L
NCT04175847,"Non-small Cell Lung Cancer",1L
NCT04175847,"Non-small Cell Lung Cancer",2L
NCT04175847,"Ovarian Cancer",1L
NCT04175847,"Ovarian Cancer",2L
NCT04175847,"Pancreatic Cancer",1L
NCT04175847,"Pancreatic Cancer",2L
NCT04175847,"Solid Tumors",1L
NCT04175847,"Solid Tumors",2L
NCT04175847,"Triple-Negative Breast Cancer",1L
NCT04175847,"Triple-Negative Breast Cancer",2L
NCT04182204,"Diffuse Large B-cell Lymphoma",2L
NCT04182204,"Non-Hodgkin Lymphoma",2L
NCT04182204,"Non-Hodgkin Lymphoma",3L
NCT04182204,"Non-Hodgkin Lymphoma",4L
NCT04185649,"Breast Cancer",1L
NCT04185649,"Breast Cancer",2L
NCT04189211,"Breast Cancer",1L
NCT04189211,"Breast Cancer",2L
NCT04189211,"Gastric Cancer",1L
NCT04189211,"Gastric Cancer",2L
NCT04189211,"Solid Tumors",1L
NCT04189211,"Solid Tumors",2L
NCT04189614,"Lung Cancer",2L
NCT04189614,"Lung Cancer",3L
NCT04189614,"Lung Cancer",4L
NCT04189614,"Non-small Cell Lung Cancer",2L
NCT04189614,"Non-small Cell Lung Cancer",3L
NCT04189614,"Non-small Cell Lung Cancer",4L
NCT04189614,"Solid Tumors",2L
NCT04189614,"Solid Tumors",3L
NCT04189614,"Solid Tumors",4L
NCT04207190,"Acute Myeloid Leukemia",2L
NCT04209855,"Fallopian tube Cancer",2L
NCT04209855,"Fallopian tube Cancer",3L
NCT04209855,"Fallopian tube Cancer",4L
NCT04209855,"Ovarian Cancer",2L
NCT04209855,"Ovarian Cancer",3L
NCT04209855,"Ovarian Cancer",4L
NCT04209855,"Peritoneal Cancer",2L
NCT04209855,"Peritoneal Cancer",3L
NCT04209855,"Peritoneal Cancer",4L
NCT04223856,"Bladder Cancer",1L
NCT04225117,"Breast Cancer",1L
NCT04225117,"Breast Cancer",2L
NCT04225117,"Breast Cancer",3L
NCT04225117,"Esophageal Cancer",1L
NCT04225117,"Esophageal Cancer",2L
NCT04225117,"Esophageal Cancer",3L
NCT04225117,"Gastric Cancer",1L
NCT04225117,"Gastric Cancer",2L
NCT04225117,"Gastric Cancer",3L
NCT04225117,"Gastroesophageal Junction",1L
NCT04225117,"Gastroesophageal Junction",2L
NCT04225117,"Gastroesophageal Junction",3L
NCT04225117,"Head and Neck Cancer",1L
NCT04225117,"Head and Neck Cancer",2L
NCT04225117,"Head and Neck Cancer",3L
NCT04225117,"Non-small Cell Lung Cancer",1L
NCT04225117,"Non-small Cell Lung Cancer",2L
NCT04225117,"Non-small Cell Lung Cancer",3L
NCT04225117,"Solid Tumors",1L
NCT04225117,"Solid Tumors",2L
NCT04225117,"Solid Tumors",3L
NCT04225117,"Triple-Negative Breast Cancer",1L
NCT04225117,"Triple-Negative Breast Cancer",2L
NCT04225117,"Triple-Negative Breast Cancer",3L
NCT04231877,"B-cell Lymphoma",1L
NCT04231877,"Classical Hodgkin Lymphoma",1L
NCT04231877,"Diffuse Large B-cell Lymphoma",1L
NCT04231877,"Hodgkin Lymphoma",1L
NCT04231877,"Non-Hodgkin Lymphoma",1L
NCT04231877,"Primary Mediastinal B-cell Lymphoma",1L
NCT04246047,"Multiple Myeloma",">= 1PL"
NCT04251416,"Endometrial Cancer",2L
NCT04251416,"Endometrial Cancer",3L
NCT04254107,"B-cell Lymphoma",3L
NCT04254107,"B-cell Lymphoma",4L
NCT04254107,"Bladder Cancer",3L
NCT04254107,"Cervical Cancer",3L
NCT04254107,"Classical Hodgkin Lymphoma",4L
NCT04254107,"Diffuse Large B-cell Lymphoma",3L
NCT04254107,"Gastric Cancer",2L
NCT04254107,"Gastroesophageal Junction",3L
NCT04254107,"Head and Neck Cancer",3L
NCT04254107,Melanoma,3L
NCT04254107,"Non-small Cell Lung Cancer",2L
NCT04254107,"Ovarian Cancer",3L
NCT04254107,"Peripheral T-cell Lymphoma",2L
NCT04254107,"Peripheral T-cell Lymphoma",3L
NCT04254107,"Peripheral T-cell Lymphoma",4L
NCT04254107,"Solid Tumors",2L
NCT04254107,"Solid Tumors",3L
NCT04254107,"Solid Tumors",4L
NCT04254107,"Triple-Negative Breast Cancer",3L
NCT04255056,"Breast Cancer",Neoadjuvant
NCT04257110,"Breast Cancer",2L
NCT04257110,"Breast Cancer",3L
NCT04257110,"Gastric Cancer",2L
NCT04257110,"Gastric Cancer",3L
NCT04257110,"Gastroesophageal Junction",2L
NCT04257110,"Gastroesophageal Junction",3L
NCT04257110,"Solid Tumors",2L
NCT04257110,"Solid Tumors",3L
NCT04261413,"Lung Cancer",2L
NCT04261413,"Non-small Cell Lung Cancer",2L
NCT04264936,"Bladder Cancer",2L
NCT04274426,"Ovarian Cancer",2L
NCT04274426,"Ovarian Cancer",3L
NCT04274426,"Ovarian Cancer",4L
NCT04274426,"Peritoneal Cancer",2L
NCT04274426,"Peritoneal Cancer",3L
NCT04274426,"Peritoneal Cancer",4L
NCT04280341,"Solid Tumors",1L
NCT04280341,"Solid Tumors",2L
NCT04293562,"Acute Myeloid Leukemia",1L
NCT04294628,"Breast Cancer",1L
NCT04294628,"Breast Cancer",2L
NCT04294628,"Gastric Cancer",1L
NCT04294628,"Gastric Cancer",2L
NCT04294628,"Solid Tumors",1L
NCT04294628,"Solid Tumors",2L
NCT04300556,"Breast Cancer",2L
NCT04300556,"Breast Cancer",3L
NCT04300556,"Endometrial Cancer",2L
NCT04300556,"Endometrial Cancer",3L
NCT04300556,"Fallopian tube Cancer",2L
NCT04300556,"Fallopian tube Cancer",3L
NCT04300556,"Non-small Cell Lung Cancer",1L
NCT04300556,"Non-small Cell Lung Cancer",2L
NCT04300556,"Ovarian Cancer",2L
NCT04300556,"Ovarian Cancer",3L
NCT04300556,"Peritoneal Cancer",2L
NCT04300556,"Peritoneal Cancer",3L
NCT04300556,"Solid Tumors",2L
NCT04300556,"Solid Tumors",3L
NCT04300556,"Triple-Negative Breast Cancer",2L
NCT04300556,"Triple-Negative Breast Cancer",3L
NCT04301375,"Breast Cancer",Neoadjuvant
NCT04305795,"Cutaneous Squamous Cell Carcinoma",1L
NCT04305795,"Head and Neck Cancer",1L
NCT04305795,"Solid Tumors",1L
NCT04305795,"Squamous Cell Carcinoma",1L
NCT04307576,"T-cell Acute Lymphocytic Leukemia",1L
NCT04311034,"Non-small Cell Lung Cancer",2L
NCT04311034,"Non-small Cell Lung Cancer",3L
NCT04311034,"Non-small Cell Lung Cancer",4L
NCT04323956,"B-cell Lymphoma",1L
NCT04323956,"Diffuse Large B-cell Lymphoma",1L
NCT04323956,"Follicular Lymphoma",1L
NCT04323956,"Marginal Zone Lymphoma",1L
NCT04323956,"Non-Hodgkin Lymphoma",1L
NCT04329429,"Biliary Tract Cancer",2L
NCT04329429,"Gallbladder Cancer",2L
NCT04329429,"Hepatocellular Carcinoma",2L
NCT04332822,"B-cell Lymphoma",1L
NCT04332822,"Diffuse Large B-cell Lymphoma",1L
NCT04332822,"Follicular Lymphoma",1L
NCT04341181,"B-cell Lymphoma",1L
NCT04341181,"Multiple Myeloma",">= 1PL"
NCT04341181,"Non-Hodgkin Lymphoma",1L
NCT04341181,"Non-Hodgkin Lymphoma",2L
NCT04341181,"Ovarian Cancer",1L
NCT04341181,"Prostate Cancer",1L
NCT04341181,"Solid Tumors",1L
NCT04378647,"Hodgkin Lymphoma",2L
NCT04379596,"Esophageal Cancer",1L
NCT04379596,"Esophageal Cancer",2L
NCT04379596,"Gastric Cancer",1L
NCT04379596,"Gastric Cancer",2L
NCT04379596,"Gastroesophageal Junction",1L
NCT04379596,"Gastroesophageal Junction",2L
NCT04379596,"Gastrointestinal Cancer",1L
NCT04379596,"Gastrointestinal Cancer",2L
NCT04379596,"Solid Tumors",1L
NCT04379596,"Solid Tumors",2L
NCT04381832,"Prostate Cancer",2L
NCT04381832,"Prostate Cancer",3L
NCT04384484,"B-cell Lymphoma",1L
NCT04384484,"B-cell Lymphoma",2L
NCT04384484,"Diffuse Large B-cell Lymphoma",1L
NCT04384484,"Diffuse Large B-cell Lymphoma",2L
NCT04385290,"Acute Myeloid Leukemia",1L
NCT04385290,"Acute Myeloid Leukemia","Newly Diagnosed"
NCT04389632,"Bladder Cancer",1L
NCT04389632,"Bladder Cancer",2L
NCT04389632,"Breast Cancer",1L
NCT04389632,"Breast Cancer",2L
NCT04389632,"Cervical Cancer",1L
NCT04389632,"Cervical Cancer",2L
NCT04389632,"Cutaneous Squamous Cell Carcinoma",1L
NCT04389632,"Cutaneous Squamous Cell Carcinoma",2L
NCT04389632,"Esophageal Cancer",1L
NCT04389632,"Esophageal Cancer",2L
NCT04389632,"Gastric Cancer",1L
NCT04389632,"Gastric Cancer",2L
NCT04389632,"Gastroesophageal Junction",1L
NCT04389632,"Head and Neck Cancer",1L
NCT04389632,"Head and Neck Cancer",2L
NCT04389632,"Lung Cancer",1L
NCT04389632,"Lung Cancer",2L
NCT04389632,"Non-small Cell Lung Cancer",1L
NCT04389632,"Non-small Cell Lung Cancer",2L
NCT04389632,"Ovarian Cancer",1L
NCT04389632,"Ovarian Cancer",2L
NCT04389632,"Pancreatic Cancer",1L
NCT04389632,"Pancreatic Cancer",2L
NCT04389632,"Solid Tumors",1L
NCT04389632,"Solid Tumors",2L
NCT04389632,"Uterine Cancer",1L
NCT04394624,"Non-small Cell Lung Cancer",2L
NCT04394624,"Non-small Cell Lung Cancer",3L
NCT04394624,"Small Cell Lung Cancer",2L
NCT04396340,"Lung Cancer",1L
NCT04396340,"Lung Cancer",2L
NCT04396340,"Non-small Cell Lung Cancer",1L
NCT04396340,"Non-small Cell Lung Cancer",2L
NCT04396340,"Ovarian Cancer",1L
NCT04396340,"Ovarian Cancer",2L
NCT04396340,"Peritoneal Cancer",1L
NCT04396340,"Peritoneal Cancer",2L
NCT04396340,"Solid Tumors",1L
NCT04396340,"Solid Tumors",2L
NCT04398680,"Multiple Myeloma",">= 2PL"
NCT04398745,"Multiple Myeloma",">= 2PL"
NCT04398914,"Breast Cancer",Neoadjuvant
NCT04400695,"Breast Cancer",2L
NCT04400695,"Breast Cancer",3L
NCT04404283,"B-cell Lymphoma",3L
NCT04404283,"B-cell Lymphoma",4L
NCT04404283,"B-cell Lymphoma",5L
NCT04404283,"Diffuse Large B-cell Lymphoma",3L
NCT04404283,"Diffuse Large B-cell Lymphoma",4L
NCT04404283,"Diffuse Large B-cell Lymphoma",5L
NCT04410224,"Breast Cancer",1L
NCT04410224,"Breast Cancer",2L
NCT04410224,"Colorectal Cancer",1L
NCT04410224,"Colorectal Cancer",2L
NCT04410224,"Lung Cancer",1L
NCT04410224,"Non-small Cell Lung Cancer",1L
NCT04410224,"Non-small Cell Lung Cancer",2L
NCT04410224,"Ovarian Cancer",1L
NCT04410224,"Ovarian Cancer",2L
NCT04410224,"Renal Cell Carcinoma",1L
NCT04410224,"Solid Tumors",1L
NCT04410224,"Solid Tumors",2L
NCT04419181,"Breast Cancer",2L
NCT04434040,"Breast Cancer",Adjuvant
NCT04434040,"Triple-Negative Breast Cancer",Adjuvant
NCT04439110,"Multiple Myeloma",">= 4PL"
NCT04446260,"Solid Tumors",1L
NCT04446260,"Solid Tumors",2L
NCT04448886,"Breast Cancer",2L
NCT04448886,"Breast Cancer",3L
NCT04448886,"Breast Cancer",4L
NCT04450732,"Biliary Tract Cancer",2L
NCT04450732,"Breast Cancer",2L
NCT04450732,"Head and Neck Cancer",2L
NCT04450732,"Small Cell Lung Cancer",2L
NCT04450732,"Solid Tumors",2L
NCT04454437,"Breast Cancer",3L
NCT04454437,"Breast Cancer",4L
NCT04454437,"Triple-Negative Breast Cancer",3L
NCT04454437,"Triple-Negative Breast Cancer",4L
NCT04457596,"Breast Cancer",Adjuvant
NCT04460456,"Biliary Tract Cancer",1L
NCT04460456,"Biliary Tract Cancer",2L
NCT04460456,"Biliary Tract Cancer",3L
NCT04460456,"Bladder Cancer",1L
NCT04460456,"Bladder Cancer",2L
NCT04460456,"Bladder Cancer",3L
NCT04460456,"Breast Cancer",1L
NCT04460456,"Breast Cancer",2L
NCT04460456,"Breast Cancer",3L
