nct_id,indication,prior_exposure
NCT05633667,"Non-small Cell Lung Cancer","PD-L1 refractory"
NCT05633667,"Non-small Cell Lung Cancer",Platinum-refractory
NCT05714839,"Multiple Myeloma","anti-CD38 Exposed"
NCT05714839,"Multiple Myeloma","IMiD Exposed"
NCT05714839,"Multiple Myeloma","PI Exposed"
NCT05714839,"Multiple Myeloma","Triple-class Exposed"
NCT05745740,"Non-small Cell Lung Cancer",IO-exposed
NCT05751512,"Head and Neck Cancer",IO-exposed
NCT05751512,"Head and Neck Cancer","PD-1 refractory"
NCT05751512,"Head and Neck Cancer","PD-L1 refractory"
NCT05754853,"Bladder Cancer",IO-exposed
NCT05773937,"Bladder Cancer",IO-exposed
NCT05773937,"Solid Tumors",IO-exposed
NCT05775471,"Bladder Cancer",IO-naive
NCT05789303,"Multiple Myeloma","anti-CD38 Exposed"
NCT05789303,"Multiple Myeloma","BCMA Exposed (CAR-T)"
NCT05789303,"Multiple Myeloma","IMiD Exposed"
NCT05789303,"Multiple Myeloma","Lenalidomide Exposed"
NCT05789303,"Multiple Myeloma","PI Exposed"
NCT05821933,"Non-small Cell Lung Cancer","PD-1 naive"
NCT05821933,"Non-small Cell Lung Cancer","PD-L1 naive"
NCT05821933,"Non-small Cell Lung Cancer",TKI-progressed
NCT05845814,"Bladder Cancer",IO-exposed
NCT05847569,"Multiple Myeloma","BCMA Exposed"
NCT05847569,"Multiple Myeloma","BCMA Naive"
NCT05847569,"Multiple Myeloma","IMiD Exposed"
NCT05847569,"Multiple Myeloma","Lenalidomide Exposed"
NCT05847569,"Multiple Myeloma","PI Exposed"
NCT05853965,"Multiple Myeloma","anti-CD38 Exposed"
NCT05853965,"Multiple Myeloma","BCMA Naive"
NCT05853965,"Multiple Myeloma","IMiD Exposed"
NCT05853965,"Multiple Myeloma","PI Exposed"
NCT05866432,"Triple-Negative Breast Cancer",IO-exposed
NCT05870748,"Fallopian tube Cancer",Platinum-refractory
NCT05870748,"Ovarian Cancer",Platinum-refractory
NCT05870748,"Peritoneal Cancer",Platinum-refractory
NCT05874193,"Multiple Myeloma","anti-CD38 Refractory"
NCT05874193,"Multiple Myeloma","BCMA Exposed"
NCT05874193,"Multiple Myeloma","IMiD Refractory"
NCT05874193,"Multiple Myeloma","PI Refractory"
NCT05879653,"Bladder Cancer",IO-naive
NCT05879653,"Bladder Cancer","PD-1 naive"
NCT05879653,"Bladder Cancer","PD-L1 naive"
NCT05914116,"Non-small Cell Lung Cancer",IO-exposed
NCT05922501,"Multiple Myeloma","anti-CD38 Exposed"
NCT05922501,"Multiple Myeloma","anti-CD38 Naive"
NCT05922501,"Multiple Myeloma","BCMA Naive"
NCT05922501,"Multiple Myeloma","IMiD Naive"
NCT05922501,"Multiple Myeloma","Lenalidomide Exposed"
NCT05922501,"Multiple Myeloma","PI Exposed"
NCT05943379,"Bladder Cancer",BCG-naive
NCT05943379,"Bladder Cancer",BCG-Unresponsive
NCT05957757,"Bladder Cancer","BCG Induction Failure"
NCT05957757,"Bladder Cancer",IO-naive
NCT05957757,"Bladder Cancer","PD-1 naive"
NCT05957757,"Bladder Cancer","PD-L1 naive"
NCT06008054,"Colorectal Cancer",IO-naive
NCT06008054,"Colorectal Cancer",TKI-naive
NCT06008054,"Esophageal Cancer",IO-naive
NCT06008054,"Esophageal Cancer",TKI-naive
NCT06008054,"Gastric Cancer",IO-naive
NCT06008054,"Gastric Cancer",TKI-naive
NCT06008054,"Gastrointestinal Cancer",IO-naive
NCT06008054,"Gastrointestinal Cancer",TKI-naive
NCT06008366,"Solid Tumors",IO-naive
NCT06014190,"Fallopian tube Cancer",Platinum-refractory
NCT06014190,"Ovarian Cancer",Platinum-refractory
NCT06014190,"Peritoneal Cancer",Platinum-refractory
